src_bytes_log,dst_bytes_log,count_log,srv_count_log
0.0,5.8377304471659395,2.833213344056216,0.0
4.382026634673881,0.0,1.3862943611198906,2.0794415416798357
4.30406509320417,0.0,1.3862943611198906,2.0794415416798357
0.0,5.187385805840755,2.833213344056216,2.0794415416798357
4.204692619390966,0.0,2.302585092994046,3.4011973816621555
0.0,4.204692619390966,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.302585092994046,3.4011973816621555
4.919980925828125,0.0,2.302585092994046,3.4011973816621555
0.0,4.007333185232471,2.833213344056216,3.4011973816621555
0.0,5.327876168789581,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.302585092994046,3.4011973816621555
4.382026634673881,0.0,1.3862943611198906,2.0794415416798357
0.0,4.564348191467836,2.833213344056216,2.0794415416798357
0.0,4.007333185232471,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.302585092994046,3.4011973816621555
4.430816798843313,0.0,1.3862943611198906,2.0794415416798357
0.0,5.1298987149230735,2.833213344056216,2.0794415416798357
4.204692619390966,0.0,2.302585092994046,3.4011973816621555
0.0,5.429345628954441,2.833213344056216,2.0794415416798357
4.204692619390966,0.0,2.0794415416798357,3.4011973816621555
0.0,4.204692619390966,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.0794415416798357,3.4011973816621555
5.111987788356544,0.0,2.0794415416798357,3.4011973816621555
0.0,4.204692619390966,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.302585092994046,3.4011973816621555
4.919980925828125,0.0,2.302585092994046,3.4011973816621555
0.0,4.007333185232471,2.833213344056216,3.4011973816621555
0.0,5.488937726156687,2.833213344056216,3.4011973816621555
0.0,4.007333185232471,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.0794415416798357,3.4011973816621555
4.007333185232471,0.0,2.0794415416798357,3.4011973816621555
4.007333185232471,0.0,2.0794415416798357,3.4011973816621555
4.007333185232471,0.0,2.0794415416798357,3.4011973816621555
0.0,5.327876168789581,2.833213344056216,3.4011973816621555
0.0,4.007333185232471,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.302585092994046,3.4011973816621555
4.007333185232471,0.0,2.302585092994046,3.4011973816621555
0.0,4.007333185232471,2.833213344056216,3.4011973816621555
4.007333185232471,0.0,2.0794415416798357,3.4011973816621555
